#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     0.000   0.000000000   0.000000000
     8.457   0.000000000   0.000000000
     8.458   0.000000000   0.000000000
     8.465   0.000000000   0.000000000
     8.472   0.000000000   0.000000000
     8.479   0.000000000   0.000000000
     8.486   0.000000000   0.000000000
     8.493   0.000000000   0.000000000
     8.500   0.000000000   0.000000000
     8.507   0.000000000   0.000000000
     8.514   0.000000000   0.000000000
     8.521   0.000000000   0.000000000
     8.528   0.000000000   0.000000000
     8.535   0.000000000   0.000000000
     8.542   0.000000000   0.000000000
     8.549   0.000000000   0.000000000
     8.556   0.000000000   0.000000000
     8.562   0.000000000   0.000000000
     8.569   0.000000000   0.000000000
     8.576   0.000000000   0.000000000
     8.583   0.000000000   0.000000000
     8.590   0.000000000   0.000000000
     8.597   0.000000000   0.000000000
     8.604   0.000000000   0.000000000
     8.611   0.000000000   0.000000000
     8.618   0.000000000   0.000000000
     8.625   0.000000000   0.000000000
     8.632   0.000000000   0.000000000
     8.639   0.000000000   0.000000000
     8.646   0.000000000   0.000000000
     8.653   0.000000000   0.000000000
     8.660   0.000000000   0.000000000
     8.667   0.000000000   0.000000000
     8.675   0.000000000   0.000000000
     8.682   0.000000000   0.000000000
     8.689   0.000000000   0.000000000
     8.696   0.000000000   0.000000000
     8.703   0.000000000   0.000000000
     8.710   0.000000000   0.000000000
     8.717   0.000000000   0.000000000
     8.724   0.000000000   0.000000000
     8.731   0.000000000   0.000000000
     8.738   0.000000000   0.000000000
     8.745   0.000000000   0.000000000
     8.752   0.000000000   0.000000000
     8.759   0.000000000   0.000000000
     8.766   0.000000000   0.000000000
     8.773   0.000000000   0.000000000
     8.780   0.000000000   0.000000000
     8.786   0.000000000   0.000000000
     8.793   0.000000000   0.000000000
     8.800   0.000000000   0.000000000
     8.807   0.000000000   0.000000000
     8.814   0.000000000   0.000000000
     8.821   0.000000000   0.000000000
     8.828   0.000000000   0.000000000
     8.835   0.000000000   0.000000000
     8.842   0.000000000   0.000000000
     8.849   0.000000000   0.000000000
     8.856   0.000000000   0.000000000
     8.863   0.000000000   0.000000000
     8.870   0.000000000   0.000000000
     8.877   0.000000000   0.000000000
     8.884   0.000000000   0.000000000
     8.892   0.000000000   0.000000000
     8.899   0.000000000   0.000000000
     8.906   0.000000000   0.000000000
     8.913   0.000000000   0.000000000
     8.920   0.000000000   0.000000000
     8.927   0.000000000   0.000000000
     8.934   0.000000000   0.000000000
     8.941   0.000000000   0.000000000
     8.948   0.000000000   0.000000000
     8.955   0.000000000   0.000000000
     8.962   0.000000000   0.000000000
     8.969   0.000000000   0.000000000
     8.976   0.000000000   0.000000000
     8.983   0.000000000   0.000000000
     8.990   0.000000000   0.000000000
     8.997   0.000000000   0.000000000
     9.003   0.000000000   0.000000000
     9.010   0.000000000   0.000000000
     9.017   0.000000000   0.000000000
     9.024   0.000000000   0.000000000
     9.031   0.000000000   0.000000000
     9.038   0.000000000   0.000000000
     9.045   0.000000000   0.000000000
     9.052   0.000000000   0.000000000
     9.059   0.000000000   0.000000000
     9.066   0.000000000   0.000000000
     9.073   0.000000000   0.000000000
     9.080   0.000000000   0.000000000
     9.087   0.000000000   0.000000000
     9.094   0.000000000   0.000000000
     9.101   0.000000000   0.000000000
     9.108   0.000000000   0.000000000
     9.116   0.000000000   0.000000000
     9.123   0.000000000   0.000000000
     9.130   0.000000000   0.000000000
     9.137   0.000000000   0.000000000
     9.144   0.000000000   0.000000000
     9.151   0.000000000   0.000000000
     9.158   0.000000000   0.000000000
     9.165   0.000000000   0.000000000
     9.172   0.000000000   0.000000000
     9.179   0.000000000   0.000000000
     9.186   0.000000000   0.000000000
     9.193   0.000000000   0.000000000
     9.200   0.000000000   0.000000000
     9.207   0.000000000   0.000000000
     9.214   0.000000000   0.000000000
     9.220   0.000000000   0.000000000
     9.227   0.000000000   0.000000000
     9.234   0.000000000   0.000000000
     9.241   0.000000000   0.000000000
     9.248   0.000000000   0.000000000
     9.255   0.000000000   0.000000000
     9.262   0.000000000   0.000000000
     9.269   0.000000000   0.000000000
     9.276   0.000000000   0.000000000
     9.283   0.000000000   0.000000000
     9.290   0.000000000   0.000000000
     9.297   0.000000000   0.000000000
     9.304   0.000000000   0.000000000
     9.311   0.000000000   0.000000000
     9.318   0.000000000   0.000000000
     9.325   0.000000000   0.000000000
     9.333   0.000000000   0.000000000
     9.340   0.000000000   0.000000000
     9.347   0.000000000   0.000000000
     9.354   0.000000000   0.000000000
     9.361   0.000000000   0.000000000
     9.368   0.000000000   0.000000000
     9.375   0.000000000   0.000000000
     9.382   0.000000000   0.000000000
     9.389   0.000000000   0.000000000
     9.396   0.000000000   0.000000000
     9.403   0.000000000   0.000000000
     9.410   0.000000000   0.000000000
     9.417   0.000000000   0.000000000
     9.424   0.000000000   0.000000000
     9.431   0.000000000   0.000000000
     9.438   0.000000000   0.000000000
     9.444   0.000000000   0.000000000
     9.451   0.000000000   0.000000000
     9.458   0.000000000   0.000000000
     9.465   0.000000000   0.000000000
     9.472   0.000000000   0.000000000
     9.479   0.000000000   0.000000000
     9.486   0.000000000   0.000000000
     9.493   0.000000000   0.000000000
     9.500   0.000000000   0.000000000
     9.507   0.000000000   0.000000000
     9.514   0.000000000   0.000000000
     9.521   0.000000000   0.000000000
     9.528   0.000000000   0.000000000
     9.535   0.000000000   0.000000000
     9.542   0.000000000   0.000000000
     9.550   0.000000000   0.000000000
     9.557   0.000000000   0.000000000
     9.564   0.000000000   0.000000000
     9.571   0.000000000   0.000000000
     9.578   0.000000000   0.000000000
     9.585   0.000000000   0.000000000
     9.592   0.000000000   0.000000000
     9.599   0.000000000   0.000000000
     9.606   0.000000000   0.000000000
     9.613   0.000000000   0.000000000
     9.620   0.000000000   0.000000000
     9.627   0.000000000   0.000000000
     9.634   0.000000000   0.000000000
     9.641   0.000000000   0.000000000
     9.648   0.000000000   0.000000000
     9.655   0.000000000   0.000000000
     9.661   0.000000000   0.000000000
     9.668   0.000000000   0.000000000
     9.675   0.000000000   0.000000000
     9.682   0.000000000   0.000000000
     9.689   0.000000000   0.000000000
     9.696   0.000000000   0.000000000
     9.703   0.000000000   0.000000000
     9.710   0.000000000   0.000000000
     9.717   0.000000000   0.000000000
     9.724   0.000000000   0.000000000
     9.731   0.000000000   0.000000000
     9.738   0.000000000   0.000000000
     9.745   0.000000000   0.000000000
     9.752   0.000000000   0.000000000
     9.759   0.000000000   0.000000000
     9.767   0.000000000   0.000000000
     9.774   0.000000000   0.000000000
     9.781   0.000000003   0.000016006
     9.788   0.000000210   0.000016001
     9.795   0.000000224   0.000015727
     9.802   0.000000249   0.000015421
     9.809   0.000000312   0.000015313
     9.816   0.000000343   0.000014736
     9.823   0.000000331   0.000013758
     9.830   0.000000356   0.000027459
     9.837   0.000000509   0.000027409
     9.844   0.000000530   0.000026721
     9.851   0.000000587   0.000026421
     9.858   0.000000639   0.000025815
     9.865   0.000000767   0.000026142
     9.872   0.000000843   0.000025973
     9.878   0.000000895   0.000025784
     9.885   0.000000866   0.000025413
     9.892   0.000000847   0.000025158
     9.899   0.000000805   0.000024347
     9.906   0.000000850   0.000024056
     9.913   0.000000868   0.000023343
     9.920   0.000000860   0.000022865
     9.927   0.000000855   0.000022507
     9.934   0.000000836   0.000022103
     9.941   0.000000833   0.000022179
     9.948   0.000000759   0.000021618
     9.955   0.000000725   0.000021405
     9.962   0.000000657   0.000021126
     9.969   0.000000511   0.000020057
     9.976   0.000000463   0.000019805
     9.983   0.000000393   0.000019414
     9.991   0.000000338   0.000019537
     9.998   0.000000203   0.000018556
     10.005   0.000000183   0.000018132
     10.012   0.000000121   0.000009085
     10.019   0.000000070   0.000008583
     10.026   0.000000044   0.000008753
     10.033   0.000000022   0.000008510
     10.040   0.000000000   0.000000000
     10.047   0.000000000   0.000000000
     10.054   0.000000000   0.000000000
     10.061   0.000000000   0.000000000
     10.068   0.000000000   0.000000000
     10.075   0.000000000   0.000000000
     10.082   0.000000000   0.000000000
     10.089   0.000000000   0.000000000
     10.095   0.000000000   0.000000000
     10.102   0.000000000   0.000000000
     10.109   0.000000000   0.000000000
     10.116   0.000000000   0.000000000
     10.123   0.000000000   0.000000000
     10.130   0.000000000   0.000000000
     10.137   0.000000000   0.000000000
     10.144   0.000000000   0.000000000
     10.151   0.000000000   0.000000000
     10.158   0.000000000   0.000000000
     10.165   0.000000000   0.000000000
     10.172   0.000000000   0.000000000
     10.179   0.000000000   0.000000000
     10.186   0.000000000   0.000000000
     10.193   0.000000000   0.000000000
     10.200   0.000000000   0.000000000
     10.208   0.000000000   0.000000000
     10.215   0.000000000   0.000000000
     10.222   0.000000000   0.000000000
     10.229   0.000000000   0.000000000
     10.236   0.000000000   0.000000000
