#      z         IWC          R_eff
#     (km)     (g/m^3)         (um)
     10.236   0.000000000   9.490000000
     10.229   0.000000000   9.490000000
     10.222   0.000000000   9.490000000
     10.215   0.000000000   9.490000000
     10.208   0.000000000   9.490000000
     10.200   0.000000000   9.490000000
     10.193   0.000000000   9.490000000
     10.186   0.000000000   9.490000000
     10.179   0.000000000   9.490000000
     10.172   0.000000000   9.490000000
     10.165   0.000000000   9.490000000
     10.158   0.000000000   9.490000000
     10.151   0.000000000   9.490000000
     10.144   0.000000000   9.490000000
     10.137   0.000000000   9.490000000
     10.130   0.000000000   9.490000000
     10.123   0.000000000   9.490000000
     10.116   0.000000000   9.490000000
     10.109   0.000000059   13.767522432
     10.102   0.000000284   27.944994144
     10.095   0.000000710   26.874993637
     10.089   0.000002106   27.490727007
     10.082   0.000004747   26.822268410
     10.075   0.000010852   26.837957193
     10.068   0.000021530   26.265723136
     10.061   0.000046973   26.301488106
     10.054   0.000086737   26.392008294
     10.047   0.000125358   25.267470846
     10.040   0.000212508   26.405745302
     10.033   0.000298934   26.158169931
     10.026   0.000422883   26.460184017
     10.019   0.000538793   27.357207728
     10.012   0.000670705   27.974845580
     10.005   0.000767374   28.237504011
     9.998   0.000890723   28.568671041
     9.991   0.001027286   28.862245017
     9.983   0.001036535   29.538978197
     9.976   0.001263041   31.376042898
     9.969   0.001415522   32.582902350
     9.962   0.001402897   32.981100958
     9.955   0.001539754   34.571414290
     9.948   0.001565149   34.543045331
     9.941   0.001414851   34.884651541
     9.934   0.001457776   37.068897655
     9.927   0.001544069   38.124577259
     9.920   0.001515581   38.654678065
     9.913   0.001509762   40.567902033
     9.906   0.001475467   41.690753278
     9.899   0.001376668   41.276609409
     9.892   0.001394769   43.797808758
     9.885   0.001359462   45.528937335
     9.878   0.001435461   47.698136768
     9.872   0.001284078   47.393088607
     9.865   0.001130522   46.789220505
     9.858   0.001129173   47.789788368
     9.851   0.001050981   48.904639698
     9.844   0.000920301   49.347570894
     9.837   0.000794463   49.531183322
     9.830   0.000745752   50.820457545
     9.823   0.000636450   51.142757002
     9.816   0.000619840   52.490293456
     9.809   0.000648853   53.858391766
     9.802   0.000665478   54.984229791
     9.795   0.000612856   55.922835600
     9.788   0.000551732   55.674681789
     9.781   0.000468635   54.944808653
     9.774   0.000428083   55.986623920
     9.767   0.000385336   57.949644543
